slug,region,sub,title,type,beds,baths,pool,image,owner_url,status,notes
gulf-shores-7dd82f,USA,Alabama,Gulf Shores,Condo (Apartment),2,2,Communal Pool,images/image-standard-prv-847278.webp,https://www.sandcastlestays.com/,live,
surf-city,USA,North Carolina,Surf City,House,4,3,,images/image-standard-prv-847277.webp,https://www.sweetteatopsail.com/,live,
branson,USA,Missouri,Branson,Condo (Apartment),2,2,Communal Pool,images/image-standard-prv-847275.webp,https://www.kustescondo2023.com/,live,
smoky-mountains,USA,South Carolina,Smoky Mountains,Cabin,4,3,,images/image-standard-prv-847258.webp,https://www.silverbearvacationrentals.com/,live,
fripp-island,USA,South Carolina,Fripp Island,House,3,3,,images/image-standard-prv-847237.webp,https://sanddollarcourt.com/,live,
north-myrtle-beach,USA,South Carolina,North Myrtle Beach,House,5,6,Private Pool,images/image-standard-prv-847232.webp,https://www.whales-tale.com/,live,
gulf-shores-867ac1,USA,Alabama,Gulf Shores,House,8,6,Private Pool,images/image-standard-prv-847230.webp,https://lazyladygulfshores.com/,live,
corolla,USA,North Carolina,Corolla,House,3,3,Private Pool,images/image-standard-prv-847229.webp,https://www.thesaltyseahorse2201.com/,live,
molokai,USA,Hawaii,Molokai,Condo (Apartment),1,1,Communal Pool,images/image-standard-prv-847228.webp,https://www.travelmolokai.com/,live,
maya-beach,Caribbean Islands,Belize,Maya Beach,Villa (Split Accommodation),3,3,Communal Pool,images/image-standard-prv-847295.webp,https://oceansoftimebelize.com/,live,
cabarete-sea-horse-ranch,Caribbean Islands,Dominican Republic,"Cabarete, Sea Horse Ranch",House,5,5,Private Pool,images/image-standard-prv-847291.webp,https://www.yourbeachvilla.com/,live,
north-andros-island,Caribbean Islands,Bahamas,North Andros Island,Beach House + Bungalow,3,3,,images/image-standard-prv-847287.webp,https://www.luredinnbahamas.com/,live,
palmetto-bay,Caribbean Islands,Roatán,Palmetto Bay,Villa,4,4,Private Pool,images/image-standard-prv-847285.webp,https://www.larubeyaroatan.com/,live,
abaco,Caribbean Islands,Bahamas,Abaco,Cottage,4,4,,images/image-standard-prv-847281.webp,https://www.bluecorallandingbahamas.com/,live,
turks-caicos,Caribbean Islands,Caribbean,Turks & Caicos,House,7,7,Private Pool,images/image-standard-prv-847280.webp,https://www.sunrisevillaturks.com/,live,
merida,Central America,Mexico,Mérida,House,2,2,Private Pool,images/image-standard-prv-847330.webp,https://casaaltamerida.lodgify.com/,live,
esterillos,Central America,Costa Rica,Esterillos,Villa,2,2,Private Pool,images/image-standard-prv-847328.webp,https://www.casatweed.com/,live,
pura-vida,Central America,Costa Rica,Pura Vida,Beach House,7,7,Private Pool,images/image-standard-prv-847327.webp,https://www.hucksbeachhouse.com/,live,
akumal,Central America,Mexico,Akumal,Condo (Apartment),2,2,Communal Pool,images/image-standard-prv-847301.webp,https://www.akumalbliss.com/,live,
